kanji;hiragana;meaning;pos;jlpt;sentenceEN;sentenceJP;meaning2;pos2;meaning3;pos3;meaning4;pos4;ref1;ref2;ref3
かぶる;かぶる;to wear, to put on (e.g., a hat on the head);v5r, vt;5;Does Tom like to wear hats?;<ruby>トム<rt>とむ</rt></ruby>って<ruby>帽子<rt>ぼうし</rt></ruby>をかぶるの<ruby>好<rt>す</rt></ruby>きかな？;to put on (one's head), to wear, to have on, to pull over (one's head), to crown (oneself);v5r, vt;to be covered with (dust, snow, etc.), to pour (water, etc.) on oneself, to dash on oneself, to ship water;v5r, vt;to bear (e.g. someone's debts, faults, etc.), to take (blame), to assume (responsibility), to shoulder (burden);v5r, vt;泥をかぶる;買いかぶる;引っ被る
泥をかぶる;どろをかぶる;to take the blame;exp, v5r;0;;;;;;;;;;;
買いかぶる;かいかぶる;to overestimate (someone);v5r, vt;0;;;;;;;;;;;
引っ被る;ひっかぶる;to take upon oneself;v5r, vt;0;;;;;;;;;;;
紙;かみ;paper;n;5;Here's a letter for you.;はい、<ruby>手紙<rt>てがみ</rt></ruby>。;paper;n;;;;;紙縒り;紙巻たばこ;紙屑籠
紙縒り;こより;string made from twisted paper;n;0;;;;;;;;;;;
紙巻たばこ;かみまきタバコ;cigarette;n;0;;;;;;;;;;;
紙屑籠;かみくずかご;wastepaper basket;n;0;;;;;;;;;;;
カメラ;カメラ;camera;n;5;My camera is broken.;<ruby>カメラ<rt>かめら</rt></ruby>がめげた。;camera;n;;;;;カメラオブスキュラ;カメラアングル;カメラポジション
カメラオブスキュラ;カメラオブスキュラ;camera obscura;n;0;;;;;;;;;;;
カメラアングル;カメラアングル;camera angle;n;0;;;;;;;;;;;
カメラポジション;カメラポジション;camera position;n;0;;;;;;;;;;;
火曜日;かようび;Tuesday;n, adv;5;Today is Tuesday.;<ruby>今日<rt>こんにち</rt></ruby>は<ruby>火曜日<rt>かようび</rt></ruby>です。;Tuesday;n, adv;;;;;;;
辛い;からい;hot and spicy, salty;adj-i;5;Hay fever is tough.;<ruby>花粉症<rt>かふんしょう</rt></ruby>は<ruby>辛<rt>つら</rt></ruby>い。;spicy, hot;adj-i;salty;adj-i;harsh (criticism), severe (punishment), strict;adj-i;辛い目に会う;世知辛い;え辛い
辛い目に会う;つらいめにあう;to have a hard time of it;exp, v5u;0;;;;;;;;;;;
世知辛い;せちがらい;tough (world);adj-i;0;;;;;;;;;;;
え辛い;えがらい;acrid;adj-i;0;;;;;;;;;;;
体;からだ;body, health;n;5;Have you lost weight?;<ruby>体重<rt>たいじゅう</rt></ruby><ruby>減<rt>へ</rt></ruby>った？;body;n;torso, trunk;n;build, physique, frame, figure;n;体がいくつあっても足りない;体作り;体当たり
体がいくつあっても足りない;からだがいくつあってもたりない;being stretched too thin;exp;0;;;;;;;;;;;
体作り;からだづくり;building up one's body;n;0;;;;;;;;;;;
体当たり;たいあたり;ramming attack;n, vs, vi;0;;;;;;;;;;;
借りる;かりる;to borrow, to owe;v1, vt;5;I need to borrow three hundred dollars.;３００<ruby>ドル<rt>どる</rt></ruby><ruby>借<rt>か</rt></ruby>りる<ruby>必要<rt>ひつよう</rt></ruby>があるんだ。;to borrow;v1, vt;to rent, to hire;v1, vt;to make use of (another's help, wisdom, etc.), to obtain, to receive;v1, vt;借りる時の地蔵顔、済す時の閻魔顔;胸を借りる;手を借りる
借りる時の地蔵顔、済す時の閻魔顔;かりるときのじぞうがお、なすときのえんまがお;people look friendly when they ask for a loan but not so much when they repay it;exp;0;;;;;;;;;;;
胸を借りる;むねをかりる;to be allowed to practice with a partner of higher skill (esp. in sumo);exp, v1;0;;;;;;;;;;;
手を借りる;てをかりる;to get (someone's) help;exp, v1;0;;;;;;;;;;;
～がる;～がる;feel;suf, v5r;5;Why are you pretending to be tough?;<ruby>何<rt>なん</rt></ruby>で<ruby>強<rt>つよ</rt></ruby>がるの？;to show signs of being, to feel, to think;suf, v5r;to behave as if one were, to pretend, to act as if;suf, v5r;;;湧き上がる;吹き上がる;飛び上がる
湧き上がる;わきあがる;to boil up;v5r, vi;0;;;;;;;;;;;
吹き上がる;ふきあがる;to be blown up (into the air);v5r, vi;0;;;;;;;;;;;
飛び上がる;とびあがる;to jump up;v5r, vi;0;;;;;;;;;;;
軽い;かるい;light, non-serious, minor;adj-i;5;He has a big mouth.;<ruby>彼<rt>かれ</rt></ruby>は<ruby>口<rt>くち</rt></ruby>が<ruby>軽<rt>かる</rt></ruby>い。;light (i.e. not heavy), feeling light (i.e. offering little resistance, moving easily);adj-i;light (i.e. of foot), effortless, nimble, agile;adj-i;non-serious, minor, unimportant, trivial;adj-i;軽い犯罪;軽い気持ち;軽い故障
軽い犯罪;かるいはんざい;minor offense;exp, n;0;;;;;;;;;;;
軽い気持ち;かるいきもち;casual;exp;0;;;;;;;;;;;
軽い故障;かるいこしょう;soft failure;n;0;;;;;;;;;;;
カレー;カレー;curry (abbr. for curry and rice);n;5;Today it will also be Japanese curry.;<ruby>今日<rt>きょう</rt></ruby>も<ruby>カレー<rt>かれー</rt></ruby>よ。;curry (esp. Japanese curry);n;rice and curry;n;;;カレールー;カレーライス;カレーコーナー
カレールー;カレールー;curry roux;n;0;;;;;;;;;;;
カレーライス;カレーライス;curry and rice;n;0;;;;;;;;;;;
カレーコーナー;カレーコーナー;curry corner;n;0;;;;;;;;;;;
カレンダー;カレンダー;calendar;n;5;Do you have a calendar?;<ruby>カレンダー<rt>かれんだー</rt></ruby>はある？;calendar;n;calender (machine for flattening things);n;;;カレンダープログラム;日めくりカレンダー;アドベントカレンダー
カレンダープログラム;カレンダープログラム;calendar program;n;0;;;;;;;;;;;
日めくりカレンダー;ひめくりカレンダー;daily rip-off-a-page calendar;n;0;;;;;;;;;;;
アドベントカレンダー;アドベントカレンダー;Advent calendar;n;0;;;;;;;;;;;
川, 河;かわ;river;n;5;London, the capital of England, is on the Thames.;<ruby>英国<rt>えいこく</rt></ruby>の<ruby>首都<rt>しゅと</rt></ruby><ruby>ロンドン<rt>ろんどん</rt></ruby>は<ruby>テムズ<rt>てむず</rt></ruby><ruby>川<rt>かわ</rt></ruby>の<ruby>河畔<rt>かはん</rt></ruby>にある。;river, stream;n;River, the ... river;suf;;;川面;川明かり;川エビ
川面;かわも;river surface;n;0;;;;;;;;;;;
川明かり;かわあかり;glow of a river in the darkness;n;0;;;;;;;;;;;
川エビ;かわえび;freshwater shrimp;n;0;;;;;;;;;;;
～側;～がわ;~ side;n, suf;5;The station is on the right.;<ruby>駅<rt>えき</rt></ruby>は<ruby>右側<rt>みぎがわ</rt></ruby>です。;side (of something, or taking someone's side), part;n, suf;(watch) case;n, suf;;;側坐核;側湾症;側女
側坐核;そくざかく;nucleus accumbens (part of the forebrain);n;0;;;;;;;;;;;
側湾症;そくわんしょう;scoliosis;n;0;;;;;;;;;;;
側女;そばめ;mistress;n;0;;;;;;;;;;;
可愛い;かわいい;cute, adorable;adj-i;5;That's cute!;<ruby>可愛<rt>かわ</rt></ruby>いな。;cute, adorable, charming, lovely, pretty;adj-i;dear, precious, darling, pet;adj-i;innocent, childlike, childish, lovable;adj-i;可愛い子ちゃん;カッコ可愛い;かわいい子には旅をさせよ
可愛い子ちゃん;かわいいこちゃん;cutie;n;0;;;;;;;;;;;
カッコ可愛い;カッコかわいい;cool and cute;exp, adj-i;0;;;;;;;;;;;
かわいい子には旅をさせよ;かわいいこにはたびをさせよ;spare the rod and spoil the child;exp;0;;;;;;;;;;;
漢字;かんじ;kanji, Chinese character;n;5;How many Kanji did you learn?;<ruby>漢字<rt>かんじ</rt></ruby>、<ruby>何個<rt>なんこ</rt></ruby><ruby>覚<rt>おぼ</rt></ruby>えた？;kanji, Chinese character;n;;;;;漢字仮名交じり文;漢字辞典;漢字文化圏
漢字仮名交じり文;かんじかなまじりぶん;mixed writing (kanji and kana);n;0;;;;;;;;;;;
漢字辞典;かんじじてん;kanji dictionary;n;0;;;;;;;;;;;
漢字文化圏;かんじぶんかけん;Chinese-character cultural sphere;n;0;;;;;;;;;;;
木;き;tree, wood, timber;n;5;Wood floats.;<ruby>木<rt>き</rt></ruby>が<ruby>浮<rt>う</rt></ruby>く。;tree, shrub, bush;n;wood, timber;n;wooden clappers (signalling the beginning or end of a performance);n;木っ端;木漏れ日;木食い虫
木っ端;こっぱ;wood chip;n;0;;;;;;;;;;;
木漏れ日;こもれび;sunlight filtering through trees;n;0;;;;;;;;;;;
木食い虫;きくいむし;bark beetle (Scolytidae spp.);n;0;;;;;;;;;;;
黄色;きいろ;yellow;n, adj-no, adj-na;5;It's yellow.;<ruby>黄色<rt>きいろ</rt></ruby>です。;yellow, amber;n, adj-no, adj-na;;;;;黄色猩猩蠅;黄色みがかった;萌黄色
黄色猩猩蠅;きいろしょうじょうばえ;Drosophila melanogaster (species of fruit fly);n;0;;;;;;;;;;;
黄色みがかった;きいろみがかった;yellowish;adj-f;0;;;;;;;;;;;
萌黄色;もえぎいろ;light green;n;0;;;;;;;;;;;
黄色い;きいろい;yellow;adj-i;5;Flowers are yellow.;<ruby>花<rt>はな</rt></ruby>は<ruby>黄色<rt>きいろ</rt></ruby>い。;yellow;adj-i;high-pitched (voice), shrill;adj-i;;;黄色い声;黄色い血;くちばしが黄色い
黄色い声;きいろいこえ;shrill voice (esp. of women and children);exp, n;0;;;;;;;;;;;
黄色い血;きいろいち;blood low in blood cells (caused by frequent blood donations);exp, n;0;;;;;;;;;;;
くちばしが黄色い;くちばしがきいろい;fledgling;exp, adj-i;0;;;;;;;;;;;
消える;きえる;to vanish, to disappear;v1, vi;5;The snow will soon disappear.;<ruby>雪<rt>ゆき</rt></ruby>はすぐに<ruby>消<rt>き</rt></ruby>えるだろう。;to disappear, to vanish, to go out of sight, to go away, to become lost;v1, vi;to go out (of a fire, light, etc.), to die, to turn off (e.g. of a TV screen);v1, vi;to fade (of a feeling, impression, etc.), to vanish (e.g. of hope);v1, vi;掻き消える;立ち消える;海の藻屑と消える
掻き消える;かききえる;to disappear;v1, vi;0;;;;;;;;;;;
立ち消える;たちぎえる;to go out (of a fire, etc.);v1, vi;0;;;;;;;;;;;
海の藻屑と消える;うみのもくずときえる;to be drowned at sea;exp, v1;0;;;;;;;;;;;
聞く;きく;to hear, to listen, to ask;v5k, vt;5;Why do you ask?;なぜ<ruby>聞<rt>き</rt></ruby>くの？;to hear;v5k, vt;to listen (e.g. to music);v5k, vt;to ask, to enquire, to query;v5k, vt;聞く耳を持たぬ;聞くは一時の恥、聞かぬは末代の恥;聞く耳を持たない
聞く耳を持たぬ;きくみみをもたぬ;to turn a deaf ear to;exp, adj-f;0;;;;;;;;;;;
聞くは一時の恥、聞かぬは末代の恥;きくはいっときのはじ、きかぬはまつだいのはじ;better to ask and be embarrassed than not ask and never know;exp;0;;;;;;;;;;;
聞く耳を持たない;きくみみをもたない;to turn a deaf ear to;exp, adj-i;0;;;;;;;;;;;
北;きた;north;n;5;Which direction is north?;<ruby>北<rt>きた</rt></ruby>って、どっち？;north;n;the North, northern territories;n;North Korea;n;北入ル;北北東;北北西
北入ル;きたいる;above;exp;0;;;;;;;;;;;
北北東;ほくほくとう;north-northeast;n;0;;;;;;;;;;;
北北西;ほくほくせい;north-northwest;n;0;;;;;;;;;;;
ギター;ギター;guitar;n;5;Do you play the guitar?;<ruby>君<rt>くん</rt></ruby>は<ruby>ギター<rt>ぎたー</rt></ruby><ruby>弾<rt>ひ</rt></ruby>く？;guitar;n;;;;;ギターアンプ;ギターシンセ;ギターシンセサイザー
ギターアンプ;ギターアンプ;guitar amplifier;n;0;;;;;;;;;;;
ギターシンセ;ギターシンセ;guitar synthesizer;n;0;;;;;;;;;;;
ギターシンセサイザー;ギターシンセサイザー;guitar synthesizer;n;0;;;;;;;;;;;
汚い;きたない;dirty, unclean, filthy;adj-i;5;Is it dirty?;<ruby>汚<rt>きたな</rt></ruby>いかな？;dirty, filthy, foul, unclean;adj-i;disordered, messy, untidy, poor (e.g. handwriting);adj-i;indecent (language, etc.), dirty, vulgar, coarse;adj-i;汚いやり方;汚い爆弾;汚い手を使う
汚いやり方;きたないやりかた;dirty trick;n;0;;;;;;;;;;;
汚い爆弾;きたないばくだん;dirty bomb;exp, n;0;;;;;;;;;;;
汚い手を使う;きたないてをつかう;to play a dirty trick;exp, v5u;0;;;;;;;;;;;
喫茶店;きっさてん;café;n;5;Do you want to go to a coffee shop?;<ruby>喫茶店<rt>きっさてん</rt></ruby>に<ruby>行<rt>い</rt></ruby>きたい？;coffee shop, tearoom, coffee lounge, coffeehouse, cafe;n;kissaten, traditional type of coffee shop with a retro atmosphere;n;;;;;
切手;きって;postal (postage) stamps;n;5;I will pay for it by check.;<ruby>小切手<rt>こぎって</rt></ruby>で<ruby>支払<rt>しはら</rt></ruby>う。;stamp (postage);n;merchandise certificate;n;;;切手収集;切手集め;切手を溜める
切手収集;きってしゅうしゅう;stamp collecting;n;0;;;;;;;;;;;
切手集め;きってあつめ;stamp collecting;n;0;;;;;;;;;;;
切手を溜める;きってをためる;to collect stamps;exp, v1;0;;;;;;;;;;;
切符;きっぷ;a ticket;n;5;Do you have money for a ticket?;<ruby>切符代<rt>きっぷだい</rt></ruby>、ある？;ticket;n;;;;;切符売り場;切符切り;切符売り
切符売り場;きっぷうりば;ticket window;n;0;;;;;;;;;;;
切符切り;きっぷきり;ticket punch;n;0;;;;;;;;;;;
切符売り;きっぷうり;ticket seller;n;0;;;;;;;;;;;
昨日;きのう;yesterday;n, adv;5;Did you swim yesterday?;<ruby>昨日<rt>きのう</rt></ruby>、<ruby>泳<rt>およ</rt></ruby>いだ？;yesterday;n, adv;;;;;昨日今日;昨日の今日;昨日の友は今日の敵
昨日今日;きのうきょう;yesterday and today;n;0;;;;;;;;;;;
昨日の今日;きのうのきょう;right on the heels of yesterday;exp;0;;;;;;;;;;;
昨日の友は今日の敵;きのうのともはきょうのてき;a friend today may turn against you tomorrow;exp;0;;;;;;;;;;;
九;きゅう;nine;num;5;It's already nine o'clock.;もう<ruby>九時<rt>くじ</rt></ruby>です。;nine, 9;num;;;;;九蓮宝燈;九箇年;九条ネギ
九蓮宝燈;チューレンポートー;nine gates;n;0;;;;;;;;;;;
九箇年;きゅうかねん;novennial;adj-f;0;;;;;;;;;;;
九条ネギ;くじょうねぎ;Kujō spring onion (variety common in the Kansai region);n;0;;;;;;;;;;;
牛肉;ぎゅうにく;beef;n;5;Beef is expensive.;<ruby>牛肉<rt>ぎゅうにく</rt></ruby>は<ruby>高<rt>たか</rt></ruby>い。;beef;n;;;;;牛肉屋;牛肉麺;仔牛肉
牛肉屋;ぎゅうにくや;butcher specializing in beef;n;0;;;;;;;;;;;
牛肉麺;ぎゅうにくめん;beef noodle soup;n;0;;;;;;;;;;;
仔牛肉;こうしにく;veal;n;0;;;;;;;;;;;
牛乳;ぎゅうにゅう;milk;n;5;I drank milk.;<ruby>牛乳<rt>ぎゅうにゅう</rt></ruby>を<ruby>飲<rt>の</rt></ruby>んだ。;(cow's) milk;n;;;;;牛乳屋;牛乳計;乾燥牛乳
牛乳屋;ぎゅうにゅうや;dairy;n;0;;;;;;;;;;;
牛乳計;ぎゅうにゅうけい;milk meter;n;0;;;;;;;;;;;
乾燥牛乳;かんそうぎゅうにゅう;powdered milk;n;0;;;;;;;;;;;
今日;きょう;today, this day;n, adv;5;Hello!;<ruby>今日<rt>こんにち</rt></ruby>は。;today, this day;n, adv;these days, recently, nowadays;n, adv;;;今日この頃;今日は;今日日
今日この頃;きょうこのごろ;these days;exp;0;;;;;;;;;;;
今日は;こんにちは;hello;int;0;;;;;;;;;;;
今日日;きょうび;nowadays;n, adv;0;;;;;;;;;;;
教室;きょうしつ;classroom;n;5;See you in class.;<ruby>教室<rt>きょうしつ</rt></ruby>でね。;classroom, lecture room;n;department (in a university);n;class, lessons, course;n;主教室;青空教室;寿教室
主教室;しゅきょうしつ;home room (in a school);n;0;;;;;;;;;;;
青空教室;あおぞらきょうしつ;open-air classes;n;0;;;;;;;;;;;
寿教室;ことぶききょうしつ;culture courses for the aged;n;0;;;;;;;;;;;
兄弟;きょうだい;siblings (humble), brothers and sisters;n;5;Do you have any sisters?;<ruby>女<rt>おんな</rt></ruby><ruby>兄弟<rt>きょうだい</rt></ruby>はいる？;siblings, brothers and sisters;n;brothers;n;siblings-in-law, brothers-in-law, sisters-in-law;n;兄弟牆に鬩ぐ;兄弟喧嘩;兄弟は他人の始まり
兄弟牆に鬩ぐ;けいていかきにせめぐ;to quarrel among friends (or siblings);exp, v5g;0;;;;;;;;;;;
兄弟喧嘩;きょうだいげんか;quarrel between brothers;n, vs;0;;;;;;;;;;;
兄弟は他人の始まり;きょうだいはたにんのはじまり;even siblings turn into strangers;exp;0;;;;;;;;;;;
去年;きょねん;last year;n, adv;5;I was a freshman last year.;<ruby>去年<rt>きょねん</rt></ruby>の<ruby>新人<rt>しんじん</rt></ruby>です。;last year;n, adv;;;;;去年末;;
去年末;きょねんまつ;end of last year;n;0;;;;;;;;;;;
嫌い;きらい;dislike;adj-na, n;5;No good guy.;<ruby>嫌<rt>いや</rt></ruby>な<ruby>奴<rt>やつ</rt></ruby>。;disliked, hated, disagreeable;adj-na, n;tendency, smack (of), touch (of);n;distinction, discrimination;n;大っ嫌い;好き嫌い;嫌いがある
大っ嫌い;だいっきらい;hating;adj-na;0;;;;;;;;;;;
好き嫌い;すききらい;likes and dislikes;n;0;;;;;;;;;;;
嫌いがある;きらいがある;to have a tendency;exp, v5r-i;0;;;;;;;;;;;
切る;きる;to cut, to hang up (a phone);v5r, vt;5;Should we hang up soon?;そろそろ<ruby>切<rt>き</rt></ruby>るぞ？;to cut, to cut through, to perform (surgery);v5r, vt;to sever (connections, ties);v5r, vt;to turn off (e.g. the light);v5r, vt;断ち切る;締め切る;言い切る
断ち切る;たちきる;to cut (cloth, paper, etc.);v5r, vt;0;;;;;;;;;;;
締め切る;しめきる;to close up;v5r, vt;0;;;;;;;;;;;
言い切る;いいきる;to declare;v5r, vt;0;;;;;;;;;;;
着る;きる;to put on (clothes above your waist), to wear;v1, vt;5;I owe you one.;<ruby>恩<rt>おん</rt></ruby>に<ruby>着<rt>き</rt></ruby>るよ。;to wear (from the shoulders down), to put on;v1, vt;to take (the blame, responsibility), to bear;v1, vt;;;笠に着る;着る物;着る毛布
笠に着る;かさにきる;to wear the mantle of (borrowed) authority and misuse it;exp, v1;0;;;;;;;;;;;
着る物;きるもの;something to wear;exp, n;0;;;;;;;;;;;
着る毛布;きるもうふ;wearable blanket;n;0;;;;;;;;;;;
綺麗;きれい;pretty, clean, tidy;adj-na;5;Beautiful, don't you think?;<ruby>綺麗<rt>きれい</rt></ruby>じゃない？;pretty, lovely, beautiful, fair;adj-na;clean, clear, pure, tidy, neat;adj-na;completely, entirely;adj-na;綺麗事;綺麗どころ;綺麗な薔薇には棘がある
綺麗事;きれいごと;whitewashing;n;0;;;;;;;;;;;
綺麗どころ;きれいどころ;geisha;n;0;;;;;;;;;;;
綺麗な薔薇には棘がある;きれいなばらにはとげがある;there is no rose without a thorn;exp, v5r-i;0;;;;;;;;;;;
キロ, キログラム;キロ, キログラム;(abbr.) kilo (kilogram);pref;5;My weight is 58 kilograms.;<ruby>私<rt>わたし</rt></ruby>の<ruby>体重<rt>たいじゅう</rt></ruby>は５８<ruby>キログラム<rt>きろぐらむ</rt></ruby>です。;kilo-, 1000;pref;kilogram, kilogramme;n;kilometre, kilometer;n;キログラム重;キログラム原器;キログラムカロリー
キログラム重;キログラムじゅう;kilogram-weight;n;0;;;;;;;;;;;
キログラム原器;キログラムげんき;prototype kilogram;n;0;;;;;;;;;;;
キログラムカロリー;キログラムカロリー;kilogram calorie;n;0;;;;;;;;;;;
キロ, キロメートル;キロ, キロメートル;(abbr.) kilo (kilometer);pref;5;A thousand meters is one kilometer.;1,000mは1kmです。;kilo-, 1000;pref;kilogram, kilogramme;n;kilometre, kilometer;n;キログラムカロリー;キロ連量;キログラム重
キログラムカロリー;キログラムカロリー;kilogram calorie;n;0;;;;;;;;;;;
キロ連量;キロれんりょう;weight of 1000 sheets of paper;n;0;;;;;;;;;;;
キログラム重;キログラムじゅう;kilogram-weight;n;0;;;;;;;;;;;
銀行;ぎんこう;bank;n;5;I have to go to the bank.;<ruby>銀行<rt>ぎんこう</rt></ruby>に<ruby>行<rt>い</rt></ruby>かねば。;bank, banking institution;n;;;;;銀行振込;人材銀行;銀行員
銀行振込;ぎんこうふりこみ;bank transfer;n;0;;;;;;;;;;;
人材銀行;じんざいぎんこう;job bank;n;0;;;;;;;;;;;
銀行員;ぎんこういん;bank employee;n;0;;;;;;;;;;;
金曜日;きんようび;Friday;n, adv;5;Thank God it's Friday!;<ruby>花<rt>はな</rt></ruby>の<ruby>金曜日<rt>きんようび</rt></ruby>だ！;Friday;n, adv;;;;;聖金曜日;聖大金曜日;
聖金曜日;せいきんようび;Good Friday;n;0;;;;;;;;;;;
聖大金曜日;せいだいきんようび;Good Friday;n;0;;;;;;;;;;;
九;く;nine;num;5;It's already nine o'clock.;もう<ruby>九時<rt>くじ</rt></ruby>です。;nine, 9;num;;;;;九蓮宝燈;九箇年;九条ネギ
九蓮宝燈;チューレンポートー;nine gates;n;0;;;;;;;;;;;
九箇年;きゅうかねん;novennial;adj-f;0;;;;;;;;;;;
九条ネギ;くじょうねぎ;Kujō spring onion (variety common in the Kansai region);n;0;;;;;;;;;;;
薬;くすり;medicine;n;5;The medicine is bitter.;<ruby>薬<rt>くすり</rt></ruby>は<ruby>苦<rt>にが</rt></ruby>い。;medicine, pharmaceuticals, (legal) drugs, pill, ointment, salve;n;efficacious chemical (gunpowder, pesticide, etc.);n;(pottery) glaze;n;薬用石鹸;馬鹿につける薬はない;薬缶
薬用石鹸;やくようせっけん;medicinal soap;n;0;;;;;;;;;;;
馬鹿につける薬はない;ばかにつけるくすりはない;a born fool is never cured;exp, adj-i;0;;;;;;;;;;;
薬缶;やかん;kettle;n;0;;;;;;;;;;;
下さい;ください;(with te-form verb) please do for me;exp;5;I'd like a book.;<ruby>本<rt>ほん</rt></ruby>を<ruby>下<rt>くだ</rt></ruby>さい。;please (give me);exp;please (do for me);exp;;;ごめん下さい;お掛け下さい;お含みおきください
ごめん下さい;ごめんください;may I come in?;exp;0;;;;;;;;;;;
お掛け下さい;おかけください;please sit down;exp;0;;;;;;;;;;;
お含みおきください;おふくみおきください;please understand (that ...);exp;0;;;;;;;;;;;
果物;くだもの;fruit;n;5;What's your favorite fruit?;<ruby>好<rt>す</rt></ruby>きな<ruby>果物<rt>くだもの</rt></ruby>は？;fruit;n;;;;;果物屋;果物籠;果物時計草
果物屋;くだものや;fruit store;n;0;;;;;;;;;;;
果物籠;くだものかご;fruit basket;n;0;;;;;;;;;;;
果物時計草;クダモノトケイソウ;passion fruit (Passiflora edulis);n;0;;;;;;;;;;;
口;くち;job opening, mouth;n;5;How about a bite?;<ruby>一口<rt>ひとくち</rt></ruby>どう？;mouth;n;opening, hole, gap, orifice;n;mouth (of a bottle), spout, nozzle, mouthpiece;n;口ごもる;口喧嘩;口汚い
口ごもる;くちごもる;to hesitate to say;v5r, vi;0;;;;;;;;;;;
口喧嘩;くちげんか;quarrel;n, vs, vi;0;;;;;;;;;;;
口汚い;くちぎたない;foul-mouthed;adj-i;0;;;;;;;;;;;
靴;くつ;shoes, footwear;n;5;How many shoes are there?;<ruby>靴<rt>くつ</rt></ruby>は<ruby>幾<rt>いく</rt></ruby>つある？;shoe, shoes, boots, footwear, footgear;n;;;;;靴べら;靴磨き;靴下止め
靴べら;くつべら;shoehorn;n;0;;;;;;;;;;;
靴磨き;くつみがき;shoeshine;n;0;;;;;;;;;;;
靴下止め;くつしたどめ;garters;n;0;;;;;;;;;;;
靴下;くつした;socks;n;5;I have to take off my socks.;<ruby>靴下<rt>くつした</rt></ruby><ruby>脱<rt>ぬ</rt></ruby>がなきゃ。;socks, sock, stockings, stocking;n;;;;;靴下止め;靴下人形;五本指靴下
靴下止め;くつしたどめ;garters;n;0;;;;;;;;;;;
靴下人形;くつしたにんぎょう;sock puppet (hand puppet made from a stocking or sock);n;0;;;;;;;;;;;
五本指靴下;ごほんゆびくつした;five-toed socks;n;0;;;;;;;;;;;
国;くに;country, place of origin;n;5;It's a very mountainous country.;<ruby>山国<rt>やまぐに</rt></ruby>です。;country, state;n;region;n;national government, central government;n;二ヶ国語;国分タバコ;国破れて山河あり
二ヶ国語;にかこくご;bilingual;adj-no;0;;;;;;;;;;;
国分タバコ;こくぶタバコ;high-quality tobacco produced in Kokubu (Kagoshima prefecture);n;0;;;;;;;;;;;
国破れて山河あり;くにやぶれてさんがあり;the land outlasts the king;exp;0;;;;;;;;;;;
曇り;くもり;cloudiness, cloudy weather;n;5;It's a cloudy day.;<ruby>曇<rt>くも</rt></ruby>りの<ruby>日<rt>にち</rt></ruby>です。;cloudiness, cloudy weather;n;fog (on a mirror, glasses, etc.), cloud (e.g. in marble), blur, mist, shadow, dimness;n;gloom, dejection;n;曇りがち;曇りガラス;曇り声
曇りがち;くもりがち;mainly cloudy;adj-na, adj-no, n;0;;;;;;;;;;;
曇りガラス;くもりガラス;frosted glass;n;0;;;;;;;;;;;
曇り声;くもりごえ;depressed voice;n;0;;;;;;;;;;;
曇る;くもる;to become cloudy, to become dim;v5r, vi;5;When I wear a mask, my glasses get steamed up.;<ruby>マスク<rt>ますく</rt></ruby>をつけると<ruby>眼鏡<rt>めがね</rt></ruby>が<ruby>曇<rt>くも</rt></ruby>る。;to get cloudy, to cloud over, to become overcast;v5r, vi;to cloud up, to fog up, to mist up, to become dim;v5r, vi;to be gloomy, to be clouded (expression), to be downcast;v5r, vi;かき曇る;;
かき曇る;かきくもる;to become overcast;v5r, vi;0;;;;;;;;;;;
暗い;くらい;dark, gloomy;adj-i;5;It is dark outside.;<ruby>外<rt>そと</rt></ruby>は<ruby>暗<rt>くら</rt></ruby>い。;dark, gloomy, murky;adj-i;depressed, dispirited, down in the dumps, dark (mood);adj-i;dark (in colour), dull;adj-i;暗い気持ちになる;ほの暗い;昼なお暗い
暗い気持ちになる;くらいきもちになる;to feel gloomy;exp, v5r;0;;;;;;;;;;;
ほの暗い;ほのぐらい;dim;adj-i;0;;;;;;;;;;;
昼なお暗い;ひるなおくらい;dark even in the daytime;exp, adj-i;0;;;;;;;;;;;
～くらい, ぐらい;～くらい, ぐらい;approximate (quantity);adj-i;5;You may as well start at once as stay here.;あなたはここにいるくらいならすぐに<ruby>出発<rt>しゅっぱつ</rt></ruby>した<ruby>方<rt>ほう</rt></ruby>がいいですよ。;dark, gloomy, murky;adj-i;depressed, dispirited, down in the dumps, dark (mood);adj-i;dark (in colour), dull;adj-i;どれ位;中くらい;申し訳ないくらい
どれ位;どれくらい;how long;exp, n, adv;0;;;;;;;;;;;
中くらい;ちゅうくらい;(about) medium;adj-no, adj-na, n;0;;;;;;;;;;;
申し訳ないくらい;もうしわけないくらい;to the extent it makes one feel apologetic;exp, adv, adj-no;0;;;;;;;;;;;
クラス;クラス;a class;n;5;Which class are you in?;どこの<ruby>クラス<rt>くらす</rt></ruby>なの？;class;n;;;;;クラスメイト;クラスター分析;クラスカルワリス検定
クラスメイト;クラスメイト;classmate;n;0;;;;;;;;;;;
クラスター分析;クラスターぶんせき;cluster analysis;n;0;;;;;;;;;;;
クラスカルワリス検定;クラスカルワリスけんてい;Kruskal-Wallis test;n;0;;;;;;;;;;;
グラム;グラム;gram;n;5;How much for half a kilo?;500<ruby>グラム<rt>ぐらむ</rt></ruby>でおいくら？;gram, gramme;n;;;;;グラムイオン;グラムメタル;グラム当量
グラムイオン;グラムイオン;gram ion;n;0;;;;;;;;;;;
グラムメタル;グラムメタル;glam metal (heavy-metal sub-genre);n;0;;;;;;;;;;;
