kanji;hiragana;meaning;pos;jlpt;sentenceEN;sentenceJP;meaning2;pos2;meaning3;pos3;meaning4;pos4;ref1;ref2;ref3
あさっての方を向く;あさってのほうをむく;to face the wrong way;exp, v5k;0;;;;;;;;;;;
あさっての方向を向く;あさってのほうこうをむく;to face the wrong way;exp, v5k;0;;;;;;;;;;;
弥の明後日;やのあさって;three days from today;n, adv;0;;;;;;;;;;;
足, 脚;あし;foot, leg;n;5;The ballerinas around the walls are stretching their legs and feet so their muscles will not become stiff.;<ruby>壁<rt>かべ</rt></ruby>のまわりの<ruby>バレリーナ<rt>ばれりーな</rt></ruby><ruby>達<rt>とおる</rt></ruby>は<ruby>筋肉<rt>きんにく</rt></ruby>が<ruby>硬直<rt>こうちょく</rt></ruby>しないように<ruby>脚<rt>あし</rt></ruby>と<ruby>足先<rt>あしさき</rt></ruby>を<ruby>伸<rt>の</rt></ruby>ばしています。;foot, paw, arm (of an octopus, squid, etc.);n;leg;n;gait;n;足技;足元の明るいうちに;足を引っ張る
足技;あしわざ;foot technique (in judo, sumo wrestling, etc.);n;0;;;;;;;;;;;
足元の明るいうちに;あしもとのあかるいうちに;while it is light;exp, adv;0;;;;;;;;;;;
足を引っ張る;あしをひっぱる;to hold back (someone) from achieving success;exp, v5r;0;;;;;;;;;;;
明日;あした;tomorrow;n, adv;5;Are you free tomorrow?;<ruby>明日<rt>あした</rt></ruby><ruby>暇<rt>ひま</rt></ruby>？;tomorrow;n, adv;near future;n, adv;;;明日のことを言えば鬼が笑う;明日葉;明日の百より今日の五十
明日のことを言えば鬼が笑う;あすのことをいえばおにがわらう;nobody knows the morrow;exp, v5u;0;;;;;;;;;;;
明日葉;あしたば;Angelica keiskei (species of angelica, a herb of the parsley family);n;0;;;;;;;;;;;
明日の百より今日の五十;あすのひゃくよりきょうのごじゅう;a bird in the hand is worth two in the bush;exp;0;;;;;;;;;;;
あそこ;あそこ;there, over there, that place;pn;5;Look over there.;あそこを<ruby>見<rt>み</rt></ruby>て。;there, over there, that place, yonder, you-know-where;pn;genitals, private parts, nether regions;n;that far, that much, that point;n;;;
遊ぶ;あそぶ;to play, to spend time pleasantly, to hang out;v5b, vi;5;Don't play here.;ここで<ruby>遊<rt>あそ</rt></ruby>ぶな。;to play (games, sports), to enjoy oneself, to have a good time;v5b, vi;to mess about (with alcohol, gambling, philandery, etc.);v5b, vi;to be idle, to do nothing, to be unused;v5b, vi;遊ぶ金欲しさ;群れ遊ぶ;吹きすさぶ
遊ぶ金欲しさ;あそぶかねほしさ;desire for money for one's enjoyment (esp. as a motive for a crime);n;0;;;;;;;;;;;
群れ遊ぶ;むれあそぶ;to play in a group;v5b;0;;;;;;;;;;;
吹きすさぶ;ふきすさぶ;to blow fiercely;v5b, vi;0;;;;;;;;;;;
暖かい;あたたかい;warm;adj-i;5;Is it warm there?;そこ<ruby>暖<rt>あたた</rt></ruby>かい？;warm, mild, (pleasantly) hot;adj-i;considerate, kind, genial;adj-i;warm (of a colour), mellow;adj-i;暖かい人;暖かい色;温かい歓迎
